card,n_terms,train_auc,test_auc,train_acc,test_acc,intercept,multiplier
44,5,0.7193858145428538,0.7192777774914577,0.936859930650754,0.9309297411516112,-16,3.785918098110327
53,5,0.7178638115383118,0.7183433189742277,0.936859930650754,0.9309297411516112,-11,2.557958401697057
57,5,0.7197001526015363,0.7182300718244617,0.936859930650754,0.9309297411516112,-12,3.508848209066635
55,5,0.7179574698792797,0.717630065368696,0.936859930650754,0.9309297411516112,-16,3.6026465623566146
46,5,0.7182978607863301,0.716313889362824,0.9350052415127812,0.9292128895932382,-7,2.4766788258726953
52,5,0.7200381800645363,0.714076783466296,0.936859930650754,0.9309297411516112,-17,3.871922479727468
43,5,0.7181507226532484,0.7139369198457017,0.936859930650754,0.9309297411516112,-12,2.7877438140812387
39,5,0.7179133888995519,0.7132469259841041,0.936859930650754,0.9309297411516112,-17,3.878543829224645
54,4,0.7166211896060348,0.7123402367529994,0.936859930650754,0.9309297411516112,-18,4.114958546002858
47,5,0.7180393659638113,0.7121885059161125,0.936859930650754,0.9309297411516112,-11,2.438382413280814
48,5,0.7189736958570695,0.7121009936725359,0.936859930650754,0.9309297411516112,-12,2.784426746007235
33,5,0.723053659853572,0.7114878315598512,0.9362954600435449,0.9303354463814052,-7,2.7232133855888687
41,5,0.7217028141693198,0.7111713837608199,0.9369405693089267,0.9306656101426307,-8,2.6439592232088334
38,5,0.7212186928857257,0.7111355108612832,0.936859930650754,0.9309297411516112,-17,4.370819381553803
35,5,0.7195456493172285,0.7100917722351623,0.9366180146762357,0.9301373481246699,-8,2.7921672420562476
56,5,0.7183839341208109,0.7096946951780042,0.9366180146762357,0.9301373481246699,-9,2.7281120827553016
34,5,0.7195221797681715,0.7096060979317951,0.9366986533344085,0.9307316428948759,-8,2.7048938681563497
49,5,0.7180160063423845,0.7090317246632218,0.9350052415127812,0.9296090861067089,-7,2.358625193950747
51,4,0.7179378477972812,0.7087166670238134,0.936859930650754,0.9309297411516112,-9,3.0392518549170155
42,5,0.7187512023334557,0.7086400726192262,0.9346826868800903,0.9290147913365029,-7,2.411337811552437
63,5,0.708831442907876,0.7064322278874429,0.936859930650754,0.9309297411516112,-11,3.2777687189790594
62,5,0.707343242649634,0.7042548310420339,0.936859930650754,0.9309297411516112,-14,3.9337140291191695
58,5,0.7122880622770804,0.7015647026401097,0.9362148213853722,0.9300713153724247,-8,2.363625975836337
67,5,0.7050408084341755,0.7014479292317882,0.936859930650754,0.9309297411516112,-12,3.585924624960359
65,5,0.7045342619140116,0.7004304341068407,0.936859930650754,0.9309297411516112,-8,2.4564146432726917
59,5,0.7120981622958342,0.697889391847887,0.936859930650754,0.9309297411516112,-12,4.109994506876275
60,5,0.7085892173746335,0.6971894634309357,0.936859930650754,0.9309297411516112,-13,3.8261053219767893
64,5,0.7039359258225939,0.6956891082281988,0.936859930650754,0.9309297411516112,-8,2.45331796693359
61,5,0.7070587499425628,0.6955306639375234,0.936859930650754,0.9309297411516112,-8,2.333536434368052
66,5,0.7052309282706822,0.6947072825647944,0.936859930650754,0.9309297411516112,-14,3.8990506111896517
68,4,0.7040612982848871,0.6946816832839341,0.936859930650754,0.9309297411516112,-8,2.4566380870283564
